http://git.mpich.org/mpich.git/blob_plain/6aab201f58d71fc97f2c044d250389ba86ac1e3c:/COPYRIGHT,MPICH licence,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gnu.org/software/libidn/,libidn,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/pth/,pth,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/ncurses/,ncurses,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:OLDAP-2.7,OpenLDAP License,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:EPL-1.0,EPL,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:Apache-2.0,Apache 2.0,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://www.gnu.org/software/recutils/,recutils,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:NCSA,NCSA,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://www.gnu.org/licenses/old-licenses/gpl-2.0.html,GNU GPL2.1 or later,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/licenses/old-licenses/lgpl-2.1.en.html,LGPL-2.1,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://yasm.tortall.net/,yasm,https://github.com/inputsh/awesome-c#readme,C error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://directory.fsf.org/wiki/License:MPL-1.1,MPLv1.1,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:ISC,ISC,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:BSD-2-Clause,2-clause BSD,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
