https://blog.graph.cool/,https://blog.graph.cool/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://medium.com/prezi-engineering,https://medium.com/prezi-engineering,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://firstdoit.com/,https://firstdoit.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://thelazylog.com/,http://thelazylog.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.billthelizard.com/,http://www.billthelizard.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://engineering.imvu.com/,https://engineering.imvu.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'engineering.imvu.com'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'engineering.imvu.com'. (_ssl.c:1018)
https://engineering.giphy.com/,https://engineering.giphy.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://techblog.commercetools.com/,https://techblog.commercetools.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://blog.blakeerickson.com/,https://blog.blakeerickson.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://engineering.creditkarma.com/,https://engineering.creditkarma.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.paperlesspost.com/blog/teams/tech/,https://www.paperlesspost.com/blog/teams/tech/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://stackshare.io/feed,https://stackshare.io/feed,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://engineering.clever.com/,https://engineering.clever.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/criteo-labs,https://medium.com/criteo-labs,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://crowdfire.engineering/,https://crowdfire.engineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.paypal-engineering.com/,https://www.paypal-engineering.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://tech.zalando.com/blog/,https://tech.zalando.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blogs.msdn.microsoft.com/pythonengineering/,https://blogs.msdn.microsoft.com/pythonengineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://tech.pic-collage.com/,https://tech.pic-collage.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)
https://techblog.appnexus.com/,https://techblog.appnexus.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://engineering.linkedin.com/blog,https://engineering.linkedin.com/blog,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 429: 'Request denied'> | reason: Request denied
