https://www.verica.io/top-seven-myths-of-robust-systems/,Top Seven Myths of Robust Systems,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://www.circonus.com/2018/07/a-guide-to-service-level-objectives/,SLOs & You: A Guide To Service Level Objectives,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.inc.com/justin-bariso/meet-postmortem-googles-brilliant-process-tool-for-learning-from-failure.html,Google Has an Official Process in Place for Learning From Failure--and It's Absolutely Brilliant,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.se-radio.net/2016/12/se-radio-episode-276-bjorn-rabenstein-on-site-reliability-engineering/,SE-Radio Episode 276: Björn Rabenstein on Site Reliability Engineering,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.oreilly.com/pub/e/2712,Go Language for Ops and Site Reliability Engineering,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.verica.io/blog/inhumanity-of-root-cause-analysis/,Inhumanity of Root Cause Analysis,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://www.transposit.com/blog/2020.01.30-writing-runbook-documentation-when-youre-an-sre/,Writing Runbook Documentation When You’re An SRE,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://engineering.medallia.com/blog/posts/understanding-site-reliability-engineering-through-movies-and-books/,Understanding Site Reliability Engineering through Movies and Books,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://medium.com/@jerub/service-level-objectives-in-practice-ed1200502d5,Service Level Objectives in Practice,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.zenduty.com/blog/2019/05/02/Avoiding-SRE-Burnout,Avoiding Burnout for SREs,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ai.google/research/pubs/pub48033,Nines are Not Enough: Meaningful Metrics for Clouds,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://techbeacon.com/devops/how-accenture-retrofitted-site-reliability-engineering,SRE Adoption Report,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://azpodcast.azurewebsites.net/post/Episode-227-Azure-SRE1,The Azure Podcast: Episode 227 - Azure SRE,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: TimeoutError('The read operation timed out') | reason: 
https://engineering.linkedin.com/blog/2017/05/building-the-sre-culture-at-linkedin,Building the SRE Culture at LinkedIn,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 429: 'Request denied'> | reason: Request denied
https://dzone.com/articles/the-cloudcast-301-sre-and-infrastructure-operation,The Cloudcast #301: SRE and Infrastructure Operations (Podcast),https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 410: 'Gone'> | reason: Gone
https://codeascraft.com/2012/05/22/blameless-postmortems/,Blameless PostMortems and a Just Culture,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.box.com/blog/a-tale-of-postmortems/,A Tale of Postmortems,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/web-development/real-world-sre,Real-World SRE,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.verizondigitalmedia.com/e-book/oreilly-what-is-sre/,What is SRE?,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
